Concepto,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 R,2020 R,2021 R,2022 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,NA,12.874911530655,-1.083822261265,-9.083040427822,4.748524528352,2.829827001838,-8.057533446961,3.00456264321,0.833637731192,4.52544594632,7.020065882422,4.294088774366,4.94286074743,0.318828230395,6.83842260513,-9.836885837213,12.88731028034,13.074166342357,5.042211831311,8.678535750647,9.759619364285,-7.600429993776,-4.71779318419,-1.880691415083,2.08957909105,2.801428245403,7.796382218268,0.786895794913,-2.832647973056,-12.939825549646,4.140184811834,1.863471519604,3.944706160169,1.009832345781,3.693781113974,4.498056991571,4.227432261041,4.212468757416,1.761950852818,2.121424801782,-7.142303397714,8.196033836569,3.082659718041
Baja California Sur,NA,8.903541137258,0.782871071925,-1.641879309583,3.771682118262,2.269792698644,-1.416191586098,2.41700417042,1.66451860546,4.592091094461,3.983718072972,5.420162356612,4.679831237332,-2.660779707111,3.167587527042,-3.645804333868,11.831394339501,4.382622766862,2.925416250151,2.659744767388,6.584254677885,4.70776262155,-2.374542391627,5.544222374434,7.816174711048,6.308610205885,7.626391380426,8.572327649199,3.299858653794,-5.362584882326,3.126587684635,4.534215013796,1.595878070212,-1.394728156644,1.651332579833,5.730058197044,4.499597922841,4.714903336374,8.100095651006,-2.704981753604,-15.046587509968,11.860101851871,3.940157022714
Campeche,NA,9.701328492054,-0.222700885669,-6.536720154721,4.40892978106,3.694475459485,-3.13015033364,3.962693241323,3.091786800845,4.52089628104,5.658445467736,3.408837976858,3.072760110655,-0.676430284923,3.828743962419,-4.979028292988,8.218644871228,5.968949346483,4.000046206407,-5.621088672012,8.228569436579,8.003466483848,2.356096131554,8.040266864979,1.133330981944,-1.225476587602,-2.656664698395,-6.444201940116,-7.699119866755,-9.022619047228,-3.140493983155,-2.542907563758,-2.866691330675,0.18631039932,-0.946916897744,2.08730065047,-5.293578525879,-10.188221341704,-5.216993066058,-3.485271293423,-7.77121010573,-2.163611365837,-3.781334321385
Coahuila de Zaragoza,NA,10.798024200811,-0.117689490558,-7.145816650816,4.259853152731,2.994583450141,-5.960845861786,2.310563426196,0.817777417356,3.191779986784,5.736812920629,3.342312444539,5.213564547917,2.253079955389,1.981530673618,-2.714972396441,16.043935451118,9.518904370189,5.759382343392,2.075691353527,2.367474069415,0.376835759741,5.410506143165,4.622864258723,1.750312261605,1.75198034496,6.294881410313,2.685648130233,-1.587602475585,-19.725709078216,19.654923821993,6.414465454359,5.552125153251,-0.712715586053,4.446153584763,-0.571642056695,0.447519173942,4.420696204009,2.599126274709,0.879773198589,-11.513630086563,6.261140132509,0.649033978061
Colima,NA,8.297760606174,0.857570228218,-2.252204866509,3.637938321981,2.817856663685,-1.534345526919,2.708150106203,1.781033472948,3.10127427896,4.294941927861,2.968203263537,2.331622866092,2.196468017804,4.195517527933,-5.124271732864,7.385632869888,4.546025029261,7.736763111125,3.018315090083,3.879011381573,-1.868555830272,0.655928684284,-2.706988632729,0.883497672323,0.421882652058,6.701184952183,6.271281454007,2.009072594612,-4.840054225447,6.012899140461,6.433578765273,1.439079349968,-1.37947703709,1.018048431213,4.395863594632,-0.229662483415,6.861761606913,2.293359802058,4.819313697535,-8.067564290965,-0.750184683593,0.698378711943
Chiapas,NA,5.978569486668,0.839431575975,-1.092054928973,2.811909911526,2.074834838451,-0.408899029516,2.244961928769,1.921752649596,3.013495616734,3.70703806689,3.161075005616,3.277078563738,3.427918700205,3.849028526154,-0.528222450581,-0.834408727794,3.288984946631,6.124817901254,-0.076917099359,1.831584868475,-0.445018314304,1.284541648085,0.73160568742,-3.362952085001,2.042274828293,3.487008635583,1.109572001674,3.84507186987,-1.402233626495,7.082952726334,1.486436032913,2.482089204936,-2.597341723844,3.901744739602,-2.853068556639,1.625819823349,-2.75327060738,-1.70522887541,-1.194768283346,-4.384557274982,4.632046666692,5.509688331504
Chihuahua,NA,10.868979876104,-0.482815456219,-5.65319814062,3.906531870294,2.496103946105,-5.292596855805,2.134655419625,0.450637319457,3.17108123957,6.096006719154,3.773742745066,3.87728565402,3.77835278272,4.327904949443,-3.379838054891,8.150476496266,6.76400295599,9.072395575768,5.496925413358,8.521362231627,-4.527486315844,-1.667321377623,2.519785482362,3.233210382499,2.532919066288,7.335266205594,4.520663525745,4.874408379125,-10.105110786522,3.404118535467,2.225474762095,7.467488653418,2.961407710989,2.818122995935,6.729799162973,3.309589065266,2.504044760961,0.239460655961,1.01826682227,-6.084580337473,4.899206991039,8.289085390349
Ciudad de México,NA,10.455290222192,-0.28283553026,-3.982567851223,2.841797106457,-0.153146753261,-4.951955897385,0.326430461589,0.019821601244,3.642213328638,4.807982733933,4.90118924022,3.395018305935,5.361095010351,3.96359075566,-6.375727087277,3.879516502544,7.371033965437,3.963775553066,3.064638737604,5.998005419795,-1.128717340791,0.786857195764,-1.753424183864,4.205506590766,0.969942968243,4.785903440148,0.262858710833,1.303614952922,-5.48520602999,3.885418367511,3.382377817683,3.118376777755,0.935883871963,1.448413961988,2.678984842095,1.93656873121,2.098635230381,1.323436206909,-0.170455660388,-10.723040023991,5.707629492603,4.587162097484
Durango,NA,8.318537253879,-0.506473333619,-4.359777720803,2.927109782682,1.903534203572,-3.294892218748,2.014117294731,1.232817285091,3.177216922133,4.622910987877,3.095452027756,2.096228179521,1.966995678389,4.939179079848,-3.803373128617,5.142237404113,4.085950047152,8.253482332619,0.07223313533,0.902816410504,4.383953356049,0.430793997449,5.732538808064,4.99711508516,-2.913321431593,2.380279495814,2.84298992966,5.276006638935,-1.798443907473,1.887551602804,4.432751989216,4.757426117142,4.7392200234,2.778383026322,-2.484346097372,1.695983410349,-0.240870921129,1.422827692477,-0.104184961331,-8.270222386465,5.885189567481,-0.944741603019
Guanajuato,NA,10.109728444069,0.100027022845,-4.648898740491,3.831173705955,2.302676289481,-3.851304489859,2.429718385515,1.421874461305,3.808543279612,5.548082026303,3.870380122967,3.288827629389,2.948748984868,3.657923823272,-3.179493203651,6.176647878236,6.436857325298,8.107468071152,1.38157058368,5.817411952469,0.597522637293,4.598371263595,3.080592372222,2.709053171491,0.481530090573,5.174268082119,1.110776674428,2.578359459854,-4.545581072532,6.681262371896,5.172802277319,4.400347018869,4.347662401364,5.13459736151,4.817371817903,3.760885243827,4.754981049085,0.469083455244,-1.729019616873,-7.016035918634,6.907218267115,3.105337407112
Guerrero,NA,4.897783688734,0.475043811259,-1.531989659919,1.986536992942,1.397653672403,-1.254434427374,1.366068466326,0.975437129,2.066595669334,3.187722095968,2.522255525305,1.816856874579,0.123839442037,5.691522875995,-6.438033390909,2.26728465249,3.008718273654,4.711715043922,0.800669590515,0.706667240942,1.014802624061,-0.808703321679,-1.035452004153,4.469605759728,2.731742801847,2.727197171759,2.588719493726,0.289134855734,-2.068640197425,3.013762460587,0.361294116033,0.95727820825,1.755230883772,6.83379250819,-1.905028776576,-0.217009545208,-1.548717725868,3.006437442515,-0.805085015322,-8.621519279542,3.962456904605,2.440979855222
Hidalgo,NA,9.628228293151,0.091524845246,-5.289843740218,3.788724397649,2.70243403735,-3.761907868513,2.599813919495,1.719098012102,3.74102263934,5.82859807548,4.503504951924,4.853992706658,2.966013063796,2.194160476821,-14.109695231204,12.10093665572,3.772211062597,11.241932074809,0.620824096159,1.315671414556,-0.964150233082,-0.786016012401,0.021770798822,7.912174924487,-1.199120026382,-1.240810105736,2.892039982685,3.084521075707,-4.229674940727,1.140193093437,2.204735839855,3.619404247674,-0.024015364209,4.788154217122,4.023057442138,1.100988146967,-0.491726131236,0.533582208139,-3.144863253185,-11.129004006557,6.693472896522,11.017763371443
Jalisco,NA,9.393165925249,-0.035679005825,-4.569779802007,3.45556212028,1.982736527896,-3.735763873418,2.105912781419,1.240941797052,3.412442558947,4.882331788998,3.505538936597,3.110352287133,2.488187293708,3.069576586693,-7.671229046016,4.854300125288,7.453426419653,8.075601687957,3.683345389561,4.665563186849,-1.675221917794,-1.057928928454,-1.037593321095,2.865122771928,2.241912008776,5.110403692379,2.994002487754,2.021107324804,-6.572202233673,5.944097192469,2.834951827307,3.867707255194,1.710030415571,3.538441690719,3.7702131588,3.053197982327,1.892205170391,2.695299654293,0.789313118815,-8.847279343987,5.096756048765,5.29963782884
México,NA,8.986521407495,-0.098791926502,-4.435193440186,3.101541648015,1.396293576097,-3.969906455894,1.596116986652,1.00354339595,3.427651959834,4.860425014614,3.834914046953,3.256390102198,2.808829781346,3.115944107698,-7.307573712827,8.12439413593,8.70357037579,5.888717059067,3.34926437184,5.61001168932,0.710296428835,-2.063948039533,-0.343553145579,2.202763542495,3.209418314052,5.776123889399,2.613922218008,0.628481597504,-6.222668868887,7.025835361691,4.479815970496,3.17144271526,0.626236855055,2.255283772075,2.075645686311,2.549395778786,5.215732306263,3.585475808691,-2.414017425998,-8.153095673923,5.666614181541,2.813631906877
Michoacán de Ocampo,NA,7.432661545238,1.124774764762,-1.769835119753,3.464365108587,2.650077521261,-1.153374465219,2.587345359338,1.844056936228,3.076506126197,4.165471381846,3.039897535871,2.101593064575,-0.31740775883,6.433488744812,-1.976144842337,3.979057000999,10.772028159873,1.568349001093,5.977923936713,1.855173130153,-2.455372502786,-1.480777046354,3.305301387967,2.55707993003,0.284765700572,5.171829074908,2.926930935175,2.48110082662,-3.991138062166,2.272983933857,3.938701303242,1.826743913379,0.319352669081,5.026113207353,2.349361942667,3.121790916646,3.21010490871,3.827390057004,0.370205872694,-5.601338820155,3.912526271062,3.675735857563
Morelos,NA,7.933109661254,0.106672314873,-3.835065013213,3.207186746356,2.240316132685,-2.588394254557,2.359945154434,1.737398524591,3.434613970646,4.721227696332,3.235843320536,2.906164418631,3.849492354467,2.031852163135,-10.741005607424,5.555454713992,6.709180021913,9.044554281615,4.707336480505,1.874441833679,3.792423272312,-2.713504282196,4.359580718119,3.007478289156,4.982417520942,-1.394948277092,2.150586712132,-2.467756648841,-3.636143631039,4.361711875449,3.726199393834,2.878605507822,4.046301870987,0.591315082843,2.343433144379,3.24137896727,1.10725692071,-1.498974092882,-2.113106741503,-9.817424937848,6.021822296616,0.391929185762
Nayarit,NA,8.664509319229,0.229925539185,-3.000971135563,3.211194461411,1.905297353946,-2.917153378129,2.099987179291,1.18002340367,3.559864628433,5.923668593661,4.85234628366,4.703353928978,3.351780012425,3.307989991226,-13.012398098577,1.787309145821,1.520536736579,9.599188178347,2.837506079267,1.281715040437,3.447398227971,-2.755803633824,-3.673825234186,14.996202020206,5.294602921774,0.143774438021,-1.566283254448,7.298672879471,-6.011738678196,1.915898666856,2.711340578629,1.191742202172,1.522308364951,0.566070779675,1.051714672182,3.498047610246,1.654421097682,0.41724035768,1.468178702208,-9.719272636766,8.941873527603,4.134345480861
Nuevo León,NA,11.417623212296,0.17393381855,-5.620375775292,4.473462561222,2.551550328198,-4.609840329026,2.674382406712,1.667370323716,4.400455955093,6.102435653264,4.499229217882,4.290676461876,3.819020655692,5.321851983656,-6.914000840502,6.260256202329,9.530270261339,8.443877840412,5.585339195932,6.59161705045,0.072333354934,2.122139785857,4.105729445349,3.554862643318,2.497488298157,7.358076099872,4.275061606588,-0.049234554642,-7.874905566204,6.982489023979,3.263903693704,4.047591708063,-0.63883652616,3.438011049392,3.670679042897,0.914085183647,3.749090569482,5.509339487763,1.843606214913,-9.73415298314,7.139173042063,3.446446197609
Oaxaca,NA,7.054839551067,0.170763964568,-3.143000881413,2.802459645579,1.948554703932,-2.248373009101,1.946412921454,1.236891495041,2.76535978757,4.341292281994,3.196603612587,3.282665542571,2.022285426776,10.050816744586,-11.000977907885,4.098403103423,2.34119802542,2.33692677978,2.58059160056,3.622742571623,0.796656505832,0.994046106983,0.090381641284,1.926544217832,1.900723114722,1.01216476209,-0.472566902979,2.654313933669,-0.728605412491,-1.47740801125,1.572846186137,0.147602910086,2.917781887769,-0.691497529837,1.604513123088,-0.407596325688,-10.388899080775,6.957200797611,-4.863119640736,-5.045532071508,9.183893718618,7.757062497187
Puebla,NA,8.968908057043,0.081954544256,-4.808133060375,3.764483910295,2.679690013114,-3.42360275856,2.836965556246,1.832159695071,3.646483752893,5.000633175872,2.7962537146,2.540926840708,2.56807531216,4.793565831538,-8.169702477869,8.956648697287,9.022167433871,8.979610819343,7.735591966699,3.467814848836,1.806994018145,-1.968331231227,2.494678259171,2.674087760316,4.92874842737,4.681254837287,3.737918172664,-0.060307592365,-7.384881188385,7.504171656933,5.38521370383,5.697085905602,-1.613493894576,1.588969850929,2.45046865207,2.071585662049,6.891468900699,1.698333529887,-0.38697837322,-10.732426788402,3.903857675253,4.567901902076
Querétaro,NA,13.053525356496,-0.652644722066,-8.808473596233,4.900477279749,3.189269653101,-6.857605613811,3.081568617648,1.587795628438,4.630408428179,7.379691795704,5.222636242009,6.60883592837,4.482495274474,6.664718982186,-6.367652475057,10.313859898137,12.928095398135,11.029802204534,2.82167494365,3.79412538996,-0.132043968773,-1.68706010278,-0.124565763644,6.489519022363,4.735194110965,5.967675482589,5.668393772534,0.072706153653,-4.68227872198,9.26206997029,8.376282983461,3.323221115396,-0.89470199336,3.850507088138,5.981562912668,0.375342999229,2.545438967474,3.373685527448,-1.334234754777,-9.226151966486,4.950869491823,3.040446274921
Quintana Roo,NA,9.025558532324,-0.59011074751,-3.935865039118,3.281576158668,1.422860680663,-2.69792256549,2.68061049851,2.59395317955,5.274864654424,6.548338867487,6.09523233914,5.943284867864,5.109605657063,3.414706410767,-4.370679450747,9.254045070966,9.674896885332,8.419071657311,-0.255649640841,3.519449242984,5.369931154089,-0.518034748068,4.032488805072,8.382805616458,3.398927523951,6.39299558258,8.350821691414,5.079067530865,-8.899200155,4.957699116587,5.156567791146,4.518681177928,3.139251401468,3.742810562368,6.200504271352,6.630602496293,5.116756876657,5.66310451995,-0.004455655452,-21.659862511634,12.856296654002,7.176251883071
San Luis Potosí,NA,9.82785008639,-0.413501606091,-5.462997590863,3.543974720387,2.002074304069,-4.397798376042,2.311767568823,1.41928378682,3.980551710843,5.918611430533,4.297230212117,3.621749710844,3.098690474641,6.747260665983,-10.063208442852,7.130002988391,6.627678188107,6.357767289428,2.449228855735,4.950705804923,-0.840023079607,0.002015548857,4.299314230876,9.896489642588,3.962618707287,2.862315644138,1.388335931956,3.747427960736,-6.182675752813,5.74837313399,5.664194096665,5.163958611912,2.893474787322,2.171420472946,4.345422588777,5.381286444681,6.797893655544,3.248957677734,-2.159685984957,-7.10990215066,2.296025307526,3.730624006629
Sinaloa,NA,8.609775361243,-0.051269920556,-2.93000532771,3.105301703573,2.18921417275,-2.883647261299,2.173282580317,0.889840326477,3.055861069256,5.586126007637,3.740289364785,2.316085197285,2.833828857931,2.054778892939,-4.815883711868,1.421066873115,2.524539946097,4.554497812434,2.66382504841,7.098972695614,-2.016854091511,-3.467281184197,0.256372631889,6.707642696243,-0.565155955521,4.382805387414,4.980200904022,4.721526107232,-3.327797659339,1.066703899972,2.43709264307,3.156476495096,-0.228320181402,-0.005362495368,4.185209736672,4.598398355478,2.209204158561,1.737173301809,-0.502919515726,-7.586054665698,4.456970756631,1.94452285057
Sonora,NA,11.140485851372,-0.759102702818,-7.032480149816,3.961030121597,2.751152866119,-6.175276870143,2.457216056254,0.673385848024,3.590341099967,7.061081310356,4.526883955154,5.182032902392,2.686127191017,8.303802983002,-4.223038137566,3.707916743575,10.634083537,7.43129386356,3.338678134898,8.576193644272,-2.997005096958,-8.079721835788,-3.1577961292,4.419292435103,4.847020338659,8.314291948285,1.419621701446,1.453818316397,-7.870069800395,3.750366363603,8.896373869264,5.028879960468,4.129130903817,1.758371401318,5.268989034331,4.210799671691,-0.938461838429,-0.319099355363,0.49038269883,-6.196918989066,4.176287988111,4.772019068335
Tabasco,NA,8.935539285519,0.094795118342,-4.371197598994,3.705071070439,2.461367894457,-2.54104700918,2.840347736919,2.274528337203,4.064529790569,5.144745990999,4.216386130423,3.639794501663,3.369151249263,0.064006555962,0.016269720593,6.696027808749,3.336377064769,4.02779513794,-1.384417520201,0.390051940463,-2.067554708985,-5.169454840583,0.136257673314,3.723921122694,7.834140060195,7.925922219816,2.560329218679,4.063467042495,2.55079001707,4.776654648578,3.786252194157,4.588334821111,0.339928920982,-0.386875135885,-6.9944384471,-3.696348678606,-5.720020779428,-6.128333823389,-4.823727363286,3.812699202582,16.604924637261,16.964333706588
Tamaulipas,NA,9.699268623038,0.093866351019,-5.452343284466,4.176594208434,3.180161872834,-4.136218935246,2.871106812943,1.487246613048,3.448237429073,5.461186528611,2.792500313449,2.890440546854,1.201936941962,6.564807778976,-6.54082762307,8.210100186775,7.333942836674,10.794835484512,6.413637230686,5.427282605797,-4.855814403619,3.708959535816,4.328963741004,4.598581036705,4.805903321188,2.941061605871,2.100023906966,2.29209186503,-8.180891474541,1.975620253739,0.749867705875,4.505145453843,0.515951583156,1.109462746347,3.685662465192,-0.426010846743,-0.114110286371,3.235433612828,2.824385358908,-7.834101779792,4.237315920512,3.283953693613
Tlaxcala,NA,8.896716340452,0.322284957922,-3.790348067852,3.481578959233,2.256516334839,-2.744687475061,2.124631655389,1.45015493942,3.359034281019,5.048669744513,4.484512658448,4.175456329031,2.221386307671,3.310494733092,-4.284151940402,7.891763787972,9.822836387884,2.341790687563,6.11164314668,4.285017720758,3.532904411003,-2.773539928261,-1.143544833878,4.309126580481,-3.865292785191,4.700994421755,0.856374290992,1.354416129939,-4.624757734303,6.587956158776,3.334332218422,2.449133300667,-0.662172251934,1.854031020344,5.025244498184,1.542533328177,3.41504143498,2.662931047103,-0.885692703548,-9.164221357004,5.627529631497,2.282858935859
Veracruz de Ignacio de la Llave,NA,7.467128019618,0.51101949788,-2.341930413667,3.046916559904,2.01896160441,-1.6664137805,2.101697004443,1.525376435495,3.100279223328,4.415266239347,3.666631463817,3.045441830426,2.26169153127,5.339425808969,-2.167785588176,3.00573783026,3.18554091555,4.24172672706,-1.839359828263,0.642568015125,-1.621400268806,-0.719374913778,1.800811499466,4.409415895575,1.024486460812,5.461473481164,3.261127097978,-1.076678816355,-1.659598151091,3.258214178944,1.800624895507,3.549318823534,-0.946162922831,0.036545821825,0.750783907211,-2.161536613284,-2.526664570014,-0.274832753812,2.439824473199,-8.139306342491,5.079646563906,1.423632697419
Yucatán,NA,8.502291996252,0.436466723902,-2.87595803283,3.321659781101,1.96520320068,-2.350079515065,2.158478048296,1.512565875973,3.477198699475,4.83986632275,3.913813652723,3.281758446754,3.764345965452,6.448896836441,-5.977144885897,5.124720543472,6.000990665591,7.00223794696,3.517205660195,7.038178016897,1.998742366712,-0.916877836604,1.108821003387,3.958834211941,4.613038758733,4.749660692953,2.24656974698,1.562346296446,-2.883971165089,3.717752336842,2.200260719376,3.591457353215,0.933184926899,3.385819677513,3.010165596913,4.349497843481,4.013965724704,4.347531028387,0.382356366683,-9.006761846437,7.544135852908,3.213605893195
Zacatecas,NA,6.903514829486,1.201097928723,-0.430890043731,3.146619870932,2.3691834385,-0.309939294503,2.431903959492,1.84591877875,3.364028484511,4.799281671777,4.443045476953,4.436555396895,3.535662711127,2.908533222442,2.300576433221,-1.806963159156,3.300363239099,8.610981142831,-2.141918085206,0.291537857712,3.587950309997,7.387834687429,2.803863327471,2.807716254337,2.594024875681,6.404229634242,3.49793345384,4.091525019721,4.523286817597,9.513258087799,0.02039891192,2.064171550526,-2.550674541149,7.665858218376,1.611715841144,0.954850329861,1.806289602114,3.545471096522,-3.6968300111,-4.465759178647,4.592878421122,0.57008632235
Estructura porcentual en valores constantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.
Aguascalientes,0.70824095565,0.718634931966,0.721747270109,0.717298654672,0.72519248765,0.733221949567,0.732883055742,0.742497297497,0.751844371859,0.763959212291,0.780320679847,0.795204665247,0.813069787541,0.825395649686,0.838748184408,0.852864865233,0.857284353603,0.859523053531,0.866610084493,0.858805891082,0.888733315443,0.943568641128,0.988820721517,0.986499719367,0.983975655312,0.980760111565,1.009729546124,1.08188041983,1.068742234651,1.054338136193,1.093688637757,1.108225167288,1.127063023837,1.158505216769,1.247057101121,1.287804742928,1.320798173784,1.325407890049,1.35637497579,1.356191604464,1.377544323116,1.34310784168,1.30672601862
Baja California,3.805209759229,3.919417968938,3.878861830415,3.697521361647,3.741639797948,3.775069991712,3.612877084799,3.646194015221,3.632338689662,3.663885908042,3.725502612091,3.736903278063,3.786488077872,3.692691039126,3.779152081264,3.621439108359,3.848814480253,4.059757942672,4.016062879215,4.247576313281,4.438879725822,4.120080967839,3.935013840705,3.815770697204,3.761393966389,3.786743467734,3.894825566395,3.845568114045,3.701717224902,3.439229597428,3.411998208526,3.359864573351,3.372566950372,3.377841579499,3.417056638279,3.476803324165,3.560670186383,3.642484879598,3.63497890414,3.721445574711,3.781813225618,3.869682768153,3.837431732906
Baja California Sur,0.504143767386,0.501004882898,0.505177604321,0.520973687764,0.522273531173,0.524070022993,0.537782837221,0.539646209628,0.542025435362,0.547081575023,0.540499314513,0.548007016638,0.553886742987,0.524122449208,0.517964465364,0.530430528083,0.558461085574,0.543789589379,0.527096371786,0.526607590743,0.534404076932,0.562096738589,0.550050867793,0.573744907419,0.597293659572,0.621833704764,0.638573627575,0.679201371225,0.695057358201,0.70197543026,0.689639042692,0.69690696961,0.683734237423,0.668501689769,0.662942367212,0.682486362131,0.700774325806,0.720332489698,0.763620879575,0.744837116752,0.692488613745,0.732574493559,0.73251217172
Campeche,4.862694123726,4.867818687569,4.859387605101,4.76194129541,4.803137856259,4.886800361244,4.927484320839,5.019181466625,5.112085302556,5.156259820038,5.176267675461,5.148037186945,5.123390030771,4.94690609849,4.920114348921,4.968812150583,5.062386912508,5.004304538781,4.90132802586,4.501794231808,4.638922889402,5.032888063306,5.163684403772,5.513493467664,5.384015701472,5.207978390217,4.837192130159,4.433354626456,4.053784692769,3.935795323863,3.631650412013,3.421464132384,3.209346476199,3.188159463992,3.080833460822,3.062384193611,2.849762627777,2.51239724934,2.335272174163,2.259560689332,2.280662484942,2.110208550921,1.953279499224
Coahuila de Zaragoza,3.445204969125,3.483314081036,3.480940657798,3.388906388821,3.413343942416,3.449358737498,3.376440538829,3.384618369772,3.371226666432,3.357118204717,3.372644498852,3.35209279146,3.40533313421,3.385009800212,3.306780636609,3.419080349013,3.735359630357,3.816201334978,3.800902162249,3.775773453329,3.680082129043,3.71067941525,3.920721911922,4.053910631935,3.982860201684,3.968769223679,4.025187724697,4.049154191046,3.947630458815,3.381826835019,3.854883178761,3.965577067272,4.042125631025,3.979408170159,4.054815773432,3.925555536066,3.874448801449,3.971392724871,3.99581351301,4.041124403398,3.913353649928,3.932670083612,3.807823491075
Colima,0.605884678844,0.598763062985,0.604197476216,0.619223393374,0.619968309108,0.625434686136,0.64103060257,0.64508032363,0.648666961901,0.645385773145,0.639529159476,0.633331044336,0.625766739318,0.621687722059,0.62050495783,0.625688673133,0.632564971595,0.61691088329,0.625925811484,0.627529593634,0.620656937918,0.611817968583,0.617291495959,0.593544745697,0.578174239132,0.568597583236,0.578884862897,0.602665787214,0.609028618734,0.618486584075,0.624623437008,0.642675059154,0.629554273767,0.615623975258,0.606700968319,0.616705342648,0.604572985723,0.634187082663,0.63618518013,0.668525183053,0.672600268265,0.631321659872,0.611579404005
Chiapas,1.902443074245,1.839819756183,1.856184198119,1.924924625054,1.911879540206,1.914798762681,1.984978008695,1.988509829613,2.002330453989,1.990505825999,1.961324261562,1.945953914022,1.940476254618,1.951057398202,1.94086985011,2.051890624204,1.915648738127,1.845778807044,1.844731310334,1.793890176813,1.739273779914,1.739375584731,1.765896488348,1.757974312174,1.640368123039,1.639228007749,1.618613435259,1.603259565289,1.649347228186,1.735471828383,1.770382822292,1.736879517181,1.718913788525,1.660121798757,1.682763105934,1.591738791353,1.589444792512,1.517283646473,1.462567456382,1.448734352971,1.515958444546,1.500085327662,1.522607577503
Chihuahua,2.883121480769,2.916879900625,2.904236858629,2.872901223524,2.883811796523,2.900134889697,2.858999994766,2.860997033703,2.839299666516,2.826850161908,2.849571404887,2.844030931637,2.852507178119,2.877779052922,2.875953518556,2.953299815767,3.007022243492,2.99482367094,3.076256997902,3.158343234371,3.263353772725,3.129716052436,3.084831970999,3.125508807971,3.115482400687,3.128286617946,3.203811206856,3.280480805657,3.408233877252,3.26966145208,3.220845589716,3.18290404572,3.303216793558,3.372303061375,3.382645273085,3.515295844835,3.568388246463,3.590537179345,3.529529875798,3.574453791028,3.673813354149,3.644628271775,3.796799020139
Ciudad de México,17.417208148155,17.55539548492,17.51442735396,17.63224077814,17.517839184312,17.161642233937,16.979076162149,16.690123182257,16.492509579029,16.495177746824,16.425896371681,16.572070847363,16.544293781576,16.945423881002,16.875538391879,16.792061257205,16.422323183968,16.448696891699,16.104603858644,16.153128194787,16.302114084042,16.19110612341,16.357206199858,15.882105494186,15.980261706715,15.801339755871,15.798458547013,15.517552551434,15.572937192101,15.707559760977,15.545066872043,15.535799818655,15.470562904976,15.483414978238,15.32400215587,15.320519860552,15.345219262814,15.379398855928,15.281570274495,15.29396117903,14.942727437768,14.938264841725,15.029973576598
Durango,1.313535231039,1.298344871652,1.292409960003,1.295992091268,1.288651546956,1.288453271225,1.296970546932,1.296344754661,1.296531179947,1.290923035047,1.283231070922,1.272364855491,1.25427625415,1.243302342576,1.24979373631,1.277780046814,1.264835311698,1.228106019766,1.252028577452,1.219339775461,1.171433459501,1.228326406848,1.236543477201,1.292110264192,1.309972216432,1.245488268695,1.216673065098,1.225792654954,1.278405944864,1.33975549779,1.30039698769,1.312826040564,1.328092833596,1.379281197665,1.382976453239,1.313133420256,1.312146240044,1.284935164219,1.278014090263,1.279899437802,1.28486259715,1.286636452447,1.226063800554
Guanajuato,3.501446092689,3.51818514505,3.523451431808,3.522536330221,3.533349637704,3.546643499798,3.549547242361,3.56228829915,3.569454288382,3.575761113452,3.585886669964,3.582247363591,3.572570085543,3.575409246346,3.550194888264,3.653233744274,3.651801272943,3.625842594141,3.691485342807,3.642143653553,3.669473890511,3.708117699058,3.887828855672,3.960641826502,3.92789108572,3.865125407399,3.87874322086,3.841995949582,3.904226598035,3.977126921344,4.041912221672,4.109460671648,4.143078882075,4.286679102809,4.39669985058,4.487245349849,4.574915425241,4.704398226505,4.635058618218,4.566394531588,4.646778660631,4.69810762886,4.659977212615
Guerrero,1.842663124462,1.763834413459,1.773092611559,1.830577250726,1.803575289828,1.794345660764,1.844317717599,1.831717378395,1.827323061088,1.799834367862,1.764567526375,1.739897747153,1.710469165096,1.664855988577,1.6855465754,1.676092620328,1.613746836884,1.550669179632,1.529152974302,1.500069078045,1.438331784503,1.459508135854,1.451138264595,1.419286149374,1.431677046425,1.440348652994,1.411792957977,1.418858371827,1.409662984376,1.473246701888,1.445772660239,1.402686980072,1.367523602685,1.379769758834,1.438054868891,1.37354196417,1.346691234094,1.301474715658,1.31467624374,1.30737789153,1.307421334587,1.28545254426,1.266804085912
