Schooling_Bins_Low,Schooling_Bins_Medium,Schooling_Bins_High,Schooling_Bins_Very High,Age_Bins_Young Adult,Age_Bins_Adult,Age_Bins_Middle Age,Age_Bins_Senior,Age_Bins_Elder,COMPETITOR_Votes_2024,Urban_Polling_Stations,Non_Urban_Polling_Stations,AMLO_2018,GDP_2024,Federal_Social_Welfare_Budget,Sheinbaum_MORENA_Events,Average_Schooling_Years,Avg_Income_Yr,Extreme_Poberty_habitants,Poberty_Habitants,Public_Hospital_Users,Total_Vehicles,Catholic_Believers,Murders_Yr,Median_Age,Adults,Total_Population,Urbanization_Ratio,Poverty_Rate,Healthcare_Demand,Income_vs_Poverty,Log_GDP_per_Capita,Log_Income_per_Capita,Log_Vehicles_per_Capita
False,True,False,False,True,False,False,False,False,-0.8262555701128484,-0.6738202600663049,-0.8648900223385231,-0.7847173190976152,-0.6107855952241287,-0.5358277317812995,-0.2388461515735282,0.43033148291193524,0.9931811153660582,-0.673997702027468,-0.7082027433568754,-0.7970364622246033,-0.5492235220526053,-0.6897909168613795,-0.9311578626765846,-1.1669199319831565,-0.7609585341158599,-0.7786833503256975,-0.17909355474600977,-0.8186241689696521,-0.10731543246932485,-0.6842115688512576,-0.05483763331374924,1.0504246268961026,0.5737878997048607
False,True,False,False,False,False,True,False,False,-0.19104650796409697,0.3190008604831467,-0.7617570092941637,-0.11435520633715926,0.23931679604562933,-0.5036855662024649,-0.20950612527658807,0.43033148291193524,1.725862880722804,-0.6114441992894505,-0.5959998662049444,-0.020271426555490153,0.2655809089535687,-0.26273066798614136,1.8430942263664747,0.5834599659915782,0.03426366083540697,-0.052355289073108394,0.34480311898759586,-0.8986659026479416,-0.15809098453593856,-0.7528458980749559,0.013539442305645353,-0.17207467384850691,1.1482033784004257
False,True,False,False,False,True,False,False,False,-0.9277501104378765,-0.8061183574980125,-1.0682093909116888,-0.8593764649741142,-0.8036718901890557,-0.5425808101262819,-0.2535161647219982,0.43033148291193524,1.8986196410973002,-0.726125620975816,-0.8910518764933555,-1.0291730519087148,-0.6227823733351681,-0.9457368834818951,-0.9292020980738049,0.0,-0.9310930636439245,-0.973068167212509,-0.1066612254584822,-0.9912595485227362,-0.08887156457835588,-0.8889985289807724,-0.05428471980559473,3.063130009419933,2.1459258236755905
False,True,False,False,False,True,False,False,False,-0.8581043968505118,-0.8333389837394922,-0.9142465357240379,-0.8116595205902786,-0.3935983370629216,-0.5238010750336574,-0.20950612527658807,0.43033148291193524,-0.44335513956438366,-0.5019755694979197,-0.6990602867000514,-1.0032360720022708,-0.7402414222747853,-0.9575744426242564,-0.9096444520460075,0.0,-0.9044814860917614,-0.9328014125236466,-0.27396729708659173,0.48317472478434587,-0.13063581097230434,0.49507872454679663,0.6704207832526482,1.3055316652277407,-0.2246991473200903
False,False,False,False,False,False,False,False,False,0.5134736491721353,-0.31087857684657616,1.9278046380269525,0.4811805121176671,-0.5382668722147522,-0.43869199022708427,-0.1654960858311779,-2.32379000772445,-1.658031714604704,3.4493206867868573,0.8751045231203727,0.40568959387034026,2.5442493179603654,-0.047840026384962125,-0.5253367075997889,-2.917299829957891,1.8288052436373767,1.6340293901715155,-0.38174602703075416,1.698576006017162,-0.40137288728183396,0.8441066673168423,-0.6081215671398101,-0.9954687153769948,1.8622651135805035
False,True,False,False,False,True,False,False,False,-0.31742723415997415,0.29851221707558134,-0.425101388142219,-0.43758007336218824,0.2256670939695085,-0.5675639441642233,-0.194836112128118,0.43033148291193524,1.244281859686833,-0.5332523208669284,-0.4896149160164469,0.07095691788338551,-0.3265951787832539,-0.12693206143694244,1.092080618899055,0.0,-0.23845816555971422,-0.24521796833039777,0.02426879886357464,-0.7029510930634567,-0.00974939364722857,-0.5031352156787636,0.1369177441785198,-0.07171243226876367,-0.5706886168175679
False,False,True,False,False,False,False,False,True,2.077905693252202,2.8054440854441114,-1.084416007247231,2.642901014090316,3.999058027453495,0.06725885860539849,5.555809042072146,1.807392228230128,1.7533108610138417,-0.32734704102095397,0.7421233353847508,1.6801366939321358,-0.7267443300602586,1.5855789671596012,-0.28673342606066077,3.5007597959494694,-0.9603273203500656,-0.9938518081991186,5.486501673155224,2.387621161149066,5.539337893014041,4.28800884292654,5.392622009503056,3.2963469664945353,0.8445682823183932
False,True,False,False,False,True,False,False,False,-0.243844389546412,-0.08023499105855496,-0.6637806469020222,-0.33591376172716525,0.22937007146831387,-0.31869938249414564,-0.18016609897964794,0.43033148291193524,0.7751144980789695,-0.5879866357626938,-0.5320026696071763,-0.1614775186467466,-0.3219997363307329,-0.27503496327473087,-0.8509715139626154,0.0,0.32648744612777664,0.49773675775584797,0.022835569028010094,-0.9409033559670783,-0.3659582874786382,-0.8578828992274764,-0.21477157206853856,-0.5936594037635018,-1.900528483169377
False,True,False,False,False,False,True,False,False,-0.9209848087453528,-0.8529495424295904,-1.0129595624950678,-0.8022673464089402,-0.844295078922205,2.040233335318136,-0.2535161647219982,0.43033148291193524,0.3747739815225022,-0.7183064331335638,-0.8553131822894071,-1.0581142342428624,0.11385242570863993,-0.935953295875295,-0.14982990386607903,0.5834599659915782,-0.04481488365761366,-0.06077059324316678,-0.23070871132069398,-1.073516125458697,-0.571546938682472,-1.0328023999669822,-0.6096241496516444,-0.38278610944268887,0.6491190987861479
False,True,False,False,True,False,False,False,False,-0.6844963307639758,-0.6003538387048921,-0.47814122342217524,-0.7069592395177224,-0.6378811275814924,-0.23837902014164816,-0.22417613842505812,0.43033148291193524,-0.4597687559193258,-0.43420927486506733,-0.5444696559573909,-0.6955931623545988,-0.5637214335972971,-0.5967674520484291,-0.8930204529223797,-1.1669199319831565,-0.659719661274812,-0.6525225954624114,-0.2825928158555977,-0.0756515786853624,-0.15293807940651163,-0.060472741532853626,-0.22751265458372125,0.1382194926242043,-0.4021997035738556
